sigungu,name,closed_year,level,use,address
경산,용성초등학교구룡분교장,1992,초,미활용,경북 경산시 용성면 매남리 158
경산,계림초등학교,1992,초,매각,경북 경산시 자인면 계림리 144-9
경산,용성초등학교송림분교장,1993,초,매각,경북 경산시 용성면 송림리 485
경산,용강초등학교,1995,초,매각,경북 경산시 용성면 용천리 152-2
경산,성남초등학교,1995,초,매각,경북 경산시 남산면 우검리 413
경산,신상초등학교,2008,초,자체활용,경북 경산시 진량읍 신상리 343-1
경산,금곡초등학교,2009,초,매각,경북 경산시 남천면 금곡리 374
경산,남산초등학교삼성분교장,2010,초,자체활용,경북 경산시 남산면 하대리 370
경산,하양초등학교화성분교장,2022,초,자체활용,경북 경산시 하양읍 환상리 75-1
경주,천포초등학교산성분교장,1986,초,매각,경북 경주시 건천읍 송선리 산195-4
경주,감포초등학교연동분교장,1989,초,매각,경북 경주시 감포읍 오류리 130
경주,박달초등학교,1992,초,대부,경북 경주시 내남면 박달리 153
경주,양북초등학교권이분교장,1992,초,매각,경북 경주시 문무대왕면 권이리 327-3
경주,구길초등학교,1992,초,매각,경북 경주시 문무대왕면 구길리 233
경주,의곡초등학교감산분교장,1993,초,대부,경북 경주시 산내면 감산리 1107-1
경주,의곡초등학교신원분교장,1993,초,대부,경북 경주시 산내면 신원리 222
경주,아화초등학교도동분교장,1993,초,매각,경북 경주시 서면 도리 951-1
경주,서라벌초등학교황용분교장,1993,초,매각,경북 경주시 황용동 572
경주,모서초등학교호명분교장,1994,초,대부,경북 경주시 강동면 호명리 18
경주,왕산초등학교,1994,초,대부,경북 경주시 암곡동 389
경주,장항초등학교,1994,초,매각,경북 경주시 문무대왕면 장항리 333
경주,아화초등학교천촌분교장,1995,초,대부,경북 경주시 서면 천촌리 345-2
경주,노월초등학교,1995,초,자체활용,경북 경주시 내남면 노곡리 909-6
경주,의곡초등학교대현분교장,1996,초,대부,경북 경주시 산내면 대현리 1345
경주,양남초등학교석읍분교장,1996,초,매각,경북 경주시 양남면 석읍리 365
경주,양북초등학교안동분교장,1996,초,매각,경북 경주시 문무대왕면 안동리 633-6
경주,의곡초등학교중리분교장,1996,초,매각,경북 경주시 산내면 대현리 2574
경주,내남초등학교명계분교장,1997,초,매각,경북 경주시 내남면 명계리 54-4
경주,율동초등학교,1998,초,매각,경북 경주시 율동 1748-1
경주,가정초등학교,1999,초,자체활용,경북 경주시 현곡면 가정리 49-2
경주,동방초등학교내동분교장,1999,초,매각,경북 경주시 조양동 646-1
경주,내남초등학교광석분교장,1999,초,매각,경북 경주시 내남면 덕천리 897-3
경주,옥산초등학교하강분교장,2000,초,대부,경북 경주시 안강읍 하곡리 632
경주,천북초등학교화당분교장,2001,초,대부,경북 경주시 천북면 화산리 145-1
경주,경주초등학교학동분교장,2002,초,미활용,경북 경주시 내남면 비지리 545
경주,양북고등학교,2003,고,자체활용,경북 경주시 문무대왕면 어일리 701
경주,천북초등학교북군분교장,2006,초,매각,경북 경주시 천북면 신당리 273
경주,양북초등학교용동분교장,2007,초,매각,경북 경주시 문무대왕면 용동리 1148-3
경주,전촌초등학교,2009,초,자체활용,경북 경주시 감포읍 전촌리 636
경주,강동초등학교왕신분교장,2009,초,대부,경북 경주시 강동면 왕신리 669-1
경주,오릉초등학교,2010,초,자체활용,경북 경주시 탑동 676-2
경주,경주초등학교화천분교장,2010,초,자체활용,경북 경주시 건천읍 화천리 1328-1
경주,양북초등학교송전분교장,2010,초,대부,경북 경주시 문무대왕면 송전리 94
경주,의곡초등학교우라분교장,2010,초,대부,경북 경주시 산내면 우라리 988
경주,대본초등학교,2010,초,매각,경북 경주시 감포읍 대본리 671
