year,level,sigungu,schools,schools_with_sped_class,sped_classes,sped_students
2025,고,경산,12,5,9,60
2025,고,경주,19,8,11,57
2025,고,고령,2,1,1,6
2025,고,구미,21,9,18,123
2025,고,김천,10,5,8,54
2025,고,문경,6,3,3,17
2025,고,봉화,3,1,1,8
2025,고,상주,10,6,8,38
2025,고,성주,3,2,2,11
2025,고,안동,13,3,7,47
2025,고,영덕,4,3,3,7
2025,고,영양,3,1,1,3
2025,고,영주,9,3,5,27
2025,고,영천,9,2,4,22
2025,고,예천,3,3,3,13
2025,고,울릉,1,1,1,3
2025,고,울진,5,3,4,19
2025,고,의성,6,3,3,16
2025,고,청도,5,4,4,18
2025,고,청송,5,3,3,5
2025,고,칠곡,7,5,8,45
2025,고,포항,27,11,20,120
2025,중,경산,15,8,14,81
2025,중,경주,20,10,14,69
2025,중,고령,6,4,4,7
2025,중,구미,28,21,27,136
2025,중,김천,15,10,12,56
2025,중,문경,9,4,5,23
2025,중,봉화,7,2,3,15
2025,중,상주,17,5,7,27
2025,중,성주,8,7,8,16
2025,중,안동,13,4,9,41
2025,중,영덕,8,3,3,11
2025,중,영양,4,1,1,6
2025,중,영주,11,3,5,18
2025,중,영천,12,5,6,23
2025,중,예천,9,4,4,6
2025,중,울릉,1,1,1,1
2025,중,울진,8,3,4,19
2025,중,의성,10,4,5,11
2025,중,청도,6,2,2,8
2025,중,청송,9,3,3,5
2025,중,칠곡,11,8,11,62
2025,중,포항,35,23,30,146
2025,초,경산,31,26,39,174
2025,초,경주,43,24,32,151
2025,초,고령,9,2,3,16
2025,초,구미,52,47,74,395
2025,초,김천,29,21,32,141
2025,초,문경,20,13,18,77
2025,초,봉화,15,11,11,25
2025,초,상주,31,16,22,79
2025,초,성주,13,10,11,23
2025,초,안동,33,20,24,103
2025,초,영덕,10,5,6,25
2025,초,영양,7,5,5,13
2025,초,영주,19,12,15,63
2025,초,영천,20,11,16,64
2025,초,예천,12,10,10,28
2025,초,울릉,4,1,1,1
2025,초,울진,15,5,5,21
2025,초,의성,17,8,10,33
2025,초,청도,11,5,5,19
2025,초,청송,8,4,4,8
2025,초,칠곡,21,17,29,137
2025,초,포항,70,56,82,390
